date,Temperature Deviation (°C),Lowest Resting Heart Rate,Total Sleep Score,Total Sleep Duration
2024-01-02,0.18,47,73,24870
2024-01-03,0.09,45,78,26160
2024-01-04,0.38,45,82,27150
2024-01-05,0.16,45,75,25350
2024-01-06,-0.12,44,82,27090
2024-01-07,-0.06,44,81,26940
2024-01-08,0.05,46,82,27180
2024-01-09,0.19,48,81,26940
2024-01-10,-0.03,49,77,25920
2024-01-11,-0.01,42,79,26370
2024-01-12,-0.14,44,73,24990
2024-01-13,0.26,45,84,27570
2024-01-14,0.11,48,83,27390
2024-01-15,-0.21,46,77,25890
2024-01-16,-0.16,44,83,27360
2024-01-17,0.05,47,77,25830
2024-01-18,0.08,45,77,25830
2024-01-19,-0.07,47,77,25890
2024-01-22,0.14,39,88,28650
2024-01-23,0.14,39,85,27840
2024-01-24,0.13,44,81,26790
2024-01-25,-0.12,45,85,27900
2024-01-26,-0.08,44,83,27450
2024-01-27,0.04,47,73,24990
2024-01-28,0.04,44,73,24960
2024-01-29,0.25,44,85,27840
2024-01-30,0.01,43,77,25920
2024-01-31,-0.01,45,67,23520
2024-02-01,-0.01,42,71,24300
2024-02-02,0.03,43,77,25830
2024-02-03,-0.01,46,68,23670
2024-02-04,0.15,42,72,24750
2024-02-05,-0.13,45,67,23460
2024-02-06,-0.2,42,71,24450
2024-02-07,0.0,45,65,22800
2024-02-08,0.13,44,74,25050
2024-02-09,0.0,43,60,21510
2024-02-10,0.11,46,62,22050
2024-02-11,-0.04,44,86,28110
2024-02-12,0.19,49,59,21480
2024-02-13,0.24,44,71,24330
2024-02-14,-0.14,43,74,25260
2024-02-15,-0.09,45,76,25740
2024-02-16,-0.13,43,72,24720
2024-02-17,0.24,45,76,25710
2024-02-18,-0.06,42,72,24750
2024-02-19,0.35,49,78,26250
2024-02-20,-0.02,45,76,25620
2024-02-21,0.02,43,77,25980
2024-02-22,0.0,46,75,25470
2024-02-23,0.07,48,75,25320
2024-02-24,0.09,44,71,24480
2024-02-25,0.23,46,71,24390
2024-02-26,0.26,45,71,24420
2024-02-27,0.03,44,78,26160
2024-02-28,0.09,41,76,25680
2024-02-29,0.02,41,74,25200
2024-03-01,-0.13,46,76,25650
2024-03-02,0.13,39,76,25590
2024-03-03,-0.16,43,73,24990
2024-03-04,0.12,44,79,26310
2024-03-05,0.0,42,69,23940
2024-03-06,-0.16,42,69,23910
2024-03-07,0.1,41,70,24150
2024-03-08,-0.12,42,75,25320
2024-03-09,-0.04,46,68,23580
2024-03-10,0.51,58,21,10980
2024-03-11,0.43,48,80,26670
2024-03-12,0.14,46,65,22920
2024-03-13,0.04,43,74,25080
2024-03-14,0.22,44,74,25260
2024-03-15,0.03,48,73,24840
2024-03-16,0.15,48,74,25260
2024-03-17,0.27,45,81,26970
2024-03-18,0.03,46,74,25110
2024-03-19,0.23,46,72,24660
2024-03-20,-0.21,48,72,24780
2024-03-21,-0.25,47,78,26040
2024-03-22,0.21,47,70,24240
2024-03-25,0.24,42,88,28710
2024-03-26,-0.03,45,78,26250
2024-03-27,-0.03,43,72,24660
2024-03-28,0.29,45,68,23760
2024-03-29,0.18,49,72,24780
2024-03-30,-0.11,46,84,27630
2024-03-31,-0.04,43,81,26790
2024-04-01,-0.15,46,71,24300
2024-04-02,0.16,45,70,24090
2024-04-05,0.05,48,73,24900
2024-04-06,0.15,47,82,27180
2024-04-07,0.03,45,84,27720
2024-04-08,-0.03,44,80,26760
2024-04-09,-0.1,44,81,26850
2024-04-10,-0.07,46,82,27150
2024-04-11,0.33,43,81,26880
2024-04-12,0.26,47,77,25830
2024-04-13,0.22,46,72,24540
2024-04-14,-0.05,45,65,22890
2024-04-15,0.06,46,73,24810
2024-04-16,0.01,43,81,26910
2024-04-17,0.36,42,75,25350
2024-04-18,0.19,43,73,24870
2024-04-19,-0.13,43,68,23640
2024-04-20,-0.23,44,67,23340
2024-04-21,0.72,58,62,22170
2024-04-22,-0.25,41,85,27840
2024-04-23,0.03,41,84,27690
2024-04-24,0.07,41,75,25380
2024-04-25,0.03,44,81,26880
2024-04-26,0.0,42,79,26370
2024-04-27,0.14,41,59,21450
2024-04-28,0.99,53,43,17400
2024-04-29,-0.06,42,80,26610
2024-04-30,0.01,40,83,27540
